"%s already exists","%s exista deja"
"%s already exist","%s exista deja"
"Leave empty for access from any location","Leave empty for access from any location"
"located in {{base_dir}}/var/log","located in {{base_dir}}/var/log"
"located in {{base_dir}}/var/log","located in {{base_dir}}/var/log"
"Store","Magazin"
"Store with the same code","Magazin cu acelasi cod"
"New Store","Magazin nou"
"Default Store","Magazin standard"
"Stores","Magazine"
"Store was successfully saved","Magazinul a fost salvat"
"Store was successfully deleted.","Magazinul a fost sters."
"Store not exists","Magazinul nu exista"
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Edit Store","Modifica magazin"
"Edit Design Change","Modifica schimbarea de design"
"Edit Website","Modifica site"
"Edit Store View","Modifica vitrina"
"Can't retrieve entity config: %s","Nu s-a gasit configuratia entitatii: %s"
"Can't retrieve request object","Nu s-a gasit obiectul cerut"
"Unable to proceed. Please, try again","Nu s-a putut continua operatiunea. Incercati din nou."
"Unable to create backup. Please, try again later.","Nu s-a putut crea backup-ul. Incercati din nou mai tarziu."
"Unable to delete Store. Please, try again later.","Nu s-a putut sterge magazinul. Incercati din nou mai tarziu."
"Unable to delete Website. Please, try again later.","Nu s-a putut sterge site-ul. Incercati din nou mai tarziu."
"Cannot Delete Email Template","Nu s-a putut sterge template-ul de email"
"Unable to delete Store View. Please, try again later.","Nu s-a putut sterge vitrina magazinului. Incercati din nou mai tarziu."
"Name","Nume"
"Sender name","Nume expeditor"
"File Name","Nume fisier"
"Store Name","Nume magazin"
"Website Name","Nume site"
"Store View Name","Nume vitrina"
"Locale options","Optiuni limba"
"Countries options","Optiuni tari"
"Package","Pachet"
"Default Pages","Pagini standard"
"Allowed IPs (comma separated)","Permite IP-uri (separate de virgula)"
"Allow countries","Permite tarile"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Please enter 6 or more characters. Leading or trailing spaces will be ignored."
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
"Please enter a valid $ amount. For example $100.00.","Please enter a valid $ amount. For example $100.00."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email address. For example johndoe@domain.com.","Please enter a valid email address. For example johndoe@domain.com."
"Please enter a valid number in this field.","Please enter a valid number in this field."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Please enter a valid URL. For example http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Please enter a valid URL. http:// is required"
"Please enter a valid zip code.","Please enter a valid zip code."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Please enter a valid zip code. For example 90602 or 90602-1234."
"Please enter valid password.","Please enter valid password."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please select an option.","Please select an option."
"Please select one of the above options.","Please select one of the above options."
"Please select one of the options.","Please select one of the options."
"Please select State/Province.","Please select State/Province."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z) in this field.","Please use letters only (a-z) in this field."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Please use numbers only in this field. please avoid spaces or other characters such as dots or commas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006."
"Please wait, loading...","Please wait, loading..."
"Port (25)","Port (25)"
"Profiler","Profiler"
"Remove This Item","Remove This Item"
"Sales representative","Reprezentant vanzari"
"Request path for specified store","Request path for specified store"
"Resource is not set","Resource is not set"
"Root Category","Root Category"
"Save","Salveaza"
"Save Store","Salveaza magazin"
"Save Website","Salveaza site"
"Save Store View","Salveaza vitrina"
"Design Change","Schimbare de design"
"New Design Change","Schimbare de design noua"
"Search","Search"
"Search Engines Optimization","Search Engines Optimization"
"Secure","Secure"
"Services","Servicii"
"Customer support","Serviciul clienti"
"Your session has been expired, you will be relogged in now.","Sesiunea a expirat, vei fi re-autentificat."
"Session Cookie management","Session Cookie management"
"Session files directory","Session files directory"
"Set as default","Set as default"
"General Settings","Setari generale"
"System","Sistem"
"Website","Site"
"Website with the same code","Site cu acelasi cod"
"New Website","Site nou"
"Website was successfully saved","Site-ul a fost salvat."
"Website was successfully deleted.","Site-ul a fost sters."
"Website not exists","Site-ul nu exista"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Skin directory","Skin directory"
"SMTP settings (Windows server only)","SMTP settings (Windows server only)"
"Sort order","Sort order"
"Default","Standard"
"Start date can't be greater than end date","Start date can't be greater than end date"
"Status","Status"
"Delete","Sterge"
"Delete Store","Sterge magazin"
"Delete Website","Sterge site"
"Delete Store View","Sterge vitrina"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Submit","Submit"
"Locale","Tara si limba"
"Default country","Tara standard"
"Target path for specified store","Target path for specified store"
"Telephone","Telephone"
"Themes","Teme"
"Forgot Password Email Template","Template mail parole uitate"
"Template Path Hints","Template Path Hints"
"Templates","Template-uri"
"Timezone","Timezone"
"All","Toate"
"Translations","Traduceri"
"Unknown scope ""%s""","Unknown scope ""%s"""
"Unsecure","Unsecure"
"Url Options","Url Options"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Web Server Rewrites","Use Web Server Rewrites"
"Admin User","Utilizator admin"
"Var (temporary files) directory","Var (temporary files) directory"
"Store View was successfully saved","Vitrina magazinului a fost salvata."
"Store View was successfully deleted.","Vitrina magazinului a fost stearsa."
"Store View not exists","Vitrina magazinului nu exista"
"New Store View","Vitrina noua"
"Default Store View","Vitrina standard"
"Web","Web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Wrong number of arguments for %s","Wrong number of arguments for %s"
"You have no items to compare.","You have no items to compare."
"You will receive an order confirmation email with details of your order and a link to track its progress.","You will receive an order confirmation email with details of your order and a link to track its progress."
"Your order # is: %s","Your order # is: %s"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address."
"Your order has been received","Your order has been received"
